全景酒店商业区首页,http://tags.big5.sunnychina.com/,^/$
城市地产小区附近酒店索引,http://tags.big5.sunnychina.com/list_7_beijing/,^/list_\d+_[a-z]+/$
城市地产小区附近酒店-Pn,http://tags.big5.sunnychina.com/list_7_beijing/P2.html,^/list_\d+_[a-z]+/p\d+\.html$
某地产小区附近酒店列表,http://tags.big5.sunnychina.com/78251_7_beijing/,^/\d+_\d+_[a-z]+/$
某地产小区酒店列表-Pn,http://tags.big5.sunnychina.com/78251_7_beijing/P2.html,^/\d+_\d+_[a-z]+/p\d+\.html$
酒店详情页,http://tags.big5.sunnychina.com/hotel/3933.html,^/hotel/\d+\.html$
酒店图片,http://tags.big5.sunnychina.com/hotel/3933/image.html,^/hotel/\d+/image\.html$
酒店点评,http://tags.big5.sunnychina.com/hotel/3933/review.html,^/hotel/\d+/review\.html$
交通地图,http://tags.big5.sunnychina.com/hotel/3933/map.html,^/hotel/\d+/map\.html$
附近地标,http://tags.big5.sunnychina.com/hotel/3933/poi.html,^/hotel/\d+/poi\.html$
