"节点","旧url","旧url正则","新url","新url正则","title","Title正则","keywords","description"
"国际酒店主页 ","http://globalhotel.elong.com/",,"http://globalhotel.elong.com/","^/$","【国际酒店预订】打折价格查询_海外酒店预订(预定)_宾馆旅馆住宿信息_艺龙旅行网",,"国际酒店预订（预定）,海外,宾馆,旅馆,住宿,打折","艺龙旅行网为您提供国际酒店宾馆旅馆预订及查询,价格优惠,实时确认,无需等待,艺龙全球超18万家酒店低价预订,为您出行提供优质的国外酒店预订和国外酒店查询服务.24小时预订电话4009-333-333.出国订酒店,首选艺龙旅行网."
"洲区域酒店索引",,,"http://globalhotel.elong.com/europe.html","^/(asia|europe|oceania|africa|north_america|south_america)\.html$","【欧洲酒店预订】打折价格查询_宾馆旅馆住宿信息_艺龙旅行网",,"欧洲酒店预订（预定）,宾馆,旅馆,住宿,打折","艺龙旅行网为您提供欧洲酒店宾馆旅馆预订及查询,价格优惠,实时确认,无需等待,艺龙全球超18万家酒店低价预订,为您出行提供优质的国外酒店预订和国外酒店查询服务.24小时预订电话4009-333-333.出国订酒店,首选艺龙旅行网."
"国家酒店索引",,,"http://globalhotel.elong.com/usa/ ","^/[a-z_-]+/$ ","【美国酒店预订】打折价格查询_宾馆旅馆住宿信息_艺龙旅行网",,"美国酒店预订（预定）,宾馆,旅馆,住宿,打折","艺龙旅行网为您提供美国酒店宾馆旅馆预订及查询,价格优惠,实时确认,无需等待,艺龙全球超18万家酒店低价预订,为您出行提供优质的国外酒店预订和国外酒店查询服务.24小时预订电话4009-333-333.出国订酒店,首选艺龙旅行网"
"城市酒店索引(最受欢迎的酒店)","http://globalhotel.elong.com/list_NewYork_US_NY.html",,"http://globalhotel.elong.com/usa/new_york/ ","^/[a-z_-]+/[a-z_-]+/$","【纽约酒店预订】new_york酒店预订(预定)价格查询_艺龙旅行网",,"纽约酒店预订（预定）,价格","纽约酒店预订及价格查询.价格低至371.39元"
"城市+最便宜的便宜酒店 ","http://globalhotel.elong.com/list_NewYork_US_NY_n_0_0_0_3_0_0.html",,"http://globalhotel.elong.com/usa/new_york/cheapeast.html ","^/[a-z_-]+/[a-z_-]+/cheapest\.html$ ","【纽约最便宜的酒店】new_york酒店预订(预定)价格查询_艺龙旅行网",,"纽约,最便宜酒店,纽约最便宜酒店,预订（预定）",
"城市+最豪华的酒店 ","http://globalhotel.elong.com/list_NewYork_US_NY_n_0_0_0_4_0_0.html",,"http://globalhotel.elong.com/usa/new_york/best.html ","^/[a-z_-]+/[a-z_-]+/best\.html$ ","【纽约最好的酒店】new_york酒店预订(预定)价格查询_艺龙旅行网",,"纽约,最好的酒店,纽约最好的酒店,预订（预定）",
"城市+打折的酒店 ","http://globalhotel.elong.com/list_NewYork_US_NY_n_0_0_0_9_0_0.html",,"http://globalhotel.elong.com/usa/new_york/sale.html ","^/[a-z_-]+/[a-z_-]+/sale\.html$","【纽约促销打折的酒店】new_york酒店预订(预定)价格查询_艺龙旅行网",,"纽约,打折酒店,纽约打折酒店,促销,预订（预定）",
"城市+口碑最好的酒店 ","http://globalhotel.elong.com/list_NewYork_US_NY_n_0_0_0_11_0_0.html",,"http://globalhotel.elong.com/usa/new_york/rating.html ","^/[a-z_-]+/[a-z_-]+/rating\.html$","【纽约口碑最好的酒店】new_york酒店预订(预定)价格查询_艺龙旅行网",,"纽约,口碑最好的酒店,纽约口碑最好酒店,预订（预定）",
"城市+经济型酒店","http://globalhotel.elong.com/list_NewYork_US_NY_n_2_0_0_0_0_0.html",,"http://globalhotel.elong.com/usa/new_york/inn.html ",,,,,
"城市+三/四/五星级酒店","http://globalhotel.elong.com/list_NewYork_US_NY_n_3_0_0_0_0_0.html",,"http://globalhotel.elong.com/usa/new_york/start-3.html ","^/[a-z_-]+/[a-z_-]+/start[1-5]\.html$","【纽约三星级酒店】new_york酒店预订(预定)价格查询_艺龙旅行网",,"纽约,三星级,预订（预定）",
"城市+地标酒店索引","http://globalhotel.elong.com/list_newyork_US_NY_times-square-6002082_0_0_0_7_0_0.html",,"http://globalhotel.elong.com/usa/new_york/times-square/ ","^/[a-z_-]+/[a-z_-]+/[a-z_-]+/$ ","【纽约_时代广场】new york_times square附近的酒店预订(预定)_价格查询_艺龙旅行网",,"纽约,时代广场,附近,酒店,预订（预定）",
"城市+地标+最便宜酒店索引","http://globalhotel.elong.com/list_newyork_US_NY_times-square-6002082_0_0_0_3_0_0.html",,"http://globalhotel.elong.com/usa/new_york/times-square/cheapest.html ","^/[a-z_-]+/[a-z_-]+/[a-z_-]+/cheapest\.html$","【纽约_时代广场_最便宜的酒店】new york_times square附近的酒店预订(预定)_价格查询_艺龙旅行网",,"纽约,时代广场,最便宜酒店,预订（预定）",
"城市+地标+最豪华酒店索引","http://globalhotel.elong.com/list_newyork_US_NY_times-square-6002082_0_0_0_4_0_0.html",,"http://globalhotel.elong.com/usa/new_york/times-square/best.html ","^/[a-z_-]+/[a-z_-]+/[a-z_-]+/best\.html$","【纽约_时代广场_最好的酒店】new york_times square酒店预订(预定)_价格查询_艺龙旅行网",,"纽约,时代广场,最好的酒店,预订（预定）",
"城市+地标+促销酒店索引","http://globalhotel.elong.com/list_newyork_US_NY_times-square-6002082_0_0_0_9_0_0.html",,"http://globalhotel.elong.com/usa/new_york/times-square/sale.html ","^/[a-z_-]+/[a-z_-]+/[a-z_-]+/sale\.html$","【纽约_时代广场_促销打折的酒店】new york_times square酒店预订(预定)_价格查询_艺龙旅行网",,"纽约,时代广场,促销打折,酒店,预订（预定）",
"城市+地标+口碑最好的酒店索引","http://globalhotel.elong.com/list_newyork_US_NY_times-square-6002082_0_0_0_11_0_0.html",,"http://globalhotel.elong.com/usa/new_york/times-square/rating.html ","^/[a-z_-]+/[a-z_-]+/[a-z_-]+/rating\.html$","【纽约_时代广场_口碑最好的酒店】new york_times square酒店预订(预定)_价格查询_艺龙旅行网",,"纽约,时代广场,口碑最好酒店,预订（预定）",
"城市+地标+经济型酒店","http://globalhotel.elong.com/list_newyork_US_NY_times-square-6002082_2_0_0_0_0_0.html",,"http://globalhotel.elong.com/usa/new_york/times-square/inn.html","^/[a-z]+/[a-z_]+/[a-z_-]+/inn\.html$","【纽约_时代广场_快捷酒店】new york_times square酒店预订(预定)_价格查询_艺龙旅行网",,"纽约,时代广场,快捷酒店,预订（预定）",
"城市+地标+三/四/五星级","http://globalhotel.elong.com/list_newyork_US_NY_times-square-6002082_3_0_0_0_0_0.html",,"http://globalhotel.elong.com/usa/new_york/times-square/start-123.html ","^/[a-z_-]+/[a-z_-]+/start[3-5]\.html$","【纽约_时代广场_三星级酒店】new york_times square酒店预订(预定)_价格查询_艺龙旅行网",,"纽约,时代广场,三星级,酒店,预订（预订）",
"酒店详情页","http://globalhotel.elong.com/detail_132479.html",,"http://globalhotel.elong.com/usa/new_york/132479.html","^/\d+/$","【希尔顿纽约酒店】hilton hotel酒店预订(预定)_电话_地址_价格查询_艺龙旅行网",,"希尔顿纽约,酒店,预订（预定）,地址,电话",
